lemma,f
trot,50
aggregation,5
frankenstein,1
100-strong,1
federalising,3
congress,99
veritable,10
boomer,91
self-image,16
transmute,4
co-finance,4
unwrap,7
esm,66
inhibition,9
much-loathed,3
55-minute,1
logical,150
bedrock,41
silkscreen,1
last-resort,5
preschool,4
25-year,31
16-month,8
retaliatory,6
mumsy,2
well-stocked,8
process,2024
gracious,18
clime,5
lodger,3
magical,76
choreography,41
lobbyist,125
queasy,21
punctuation,10
stint,74
misallocation,5
slather,1
schoolchild,2
five-page,5
haggis,4
disregard,84
reconstructive,1
mini-revival,3
fire,1198
patient-centred,5
scourge,33
commodious,1
92-year-old,7
dart,24
high-cost,18
concoction,6
vis-à-vi,4
english-speaking,20
anonymity,48
reincarnation,13
repo,7
railwayman,3
tranch,30
next,9438
exceptional,193
overstatement,3
nomadic,11
18-year,7
overblown,33
digress,4
incoherence,14
ever-closer,15
chiropodist,5
flagrant,18
british-trained,10
fedora,1
allium,1
newcomer,83
neolithic,3
first-timer,6
evening,805
luxuriate,11
ochre,3
rubber-chicken,1
photo,285
unreserved,2
skew,32
pater,1
engaging,54
unsuited,13
alarmism,6
pitch-perfect,1
one-bedroom,23
removal,180
duffy,51
surname,31
disposition,12
snowbound,1
engine-room,2
cash-rich,18
conspicuous,56
back-to-school,3
high-fiving,1
motorcade,7
donkey,41
deduction,33
megabuck,1
spinster,3
577-seat,2
depth,180
subsidiary,78
inflexible,45
hanger,6
russian-greek,1
coincidental,10
tickle,26
normal,717
tenth,62
dignitary,23
deity,7
cordite,2
intact,110
bully,197
gnu,1
often-repeated,1
nonchalance,6
acquiesce,26
discontented,10
petro-state,6
multilingual,12
property,1725
spurious,43
read,2299
visionary,73
energise,70
agonised,4
sneeze,12
boundary,235
dongle,5
treacle,6
mining,277
portal,34
depression-hit,1
followup,8
curious,136
femme,6
decile,26
opportunism,35
infiltrate,49
commander-in-chief,5
swinging,2
unconvincing,41
moron,24
sewer,14
secular,84
container,31
clan,16
eye-opener,8
angst-ridden,4
shopper,307
flinch,24
budging,1
ill-fitting,6
demeaning,14
unwashed,4
architecture,229
middling,21
self-professed,4
cord,17
breaker,17
remission,11
unburdened,2
mentality,83
microwave,26
hidebound,6
proceeds,121
stationary,7
fatten,10
debt-deleveraging,1
blouse,5
11-page,3
hoard,96
jeer,49
dynamics,94
shale,57
triple-dipped,1
warmongering,4
part,6938
unviable,23
troops,282
rackety,1
testimony,108
onboard,8
antiquity,15
hankie,1
retail,904
moulding,4
overstay,2
appropriate,404
arbitration,12
termination,21
apologist,20
anglian,9
courtesy,129
collection,547
superhighway,2
acrylic,3
analgesic,3
pugnacious,8
object,363
refocus,34
soul-destroying,7
animatronic,10
unbounded,2
wroclaw,3
saddle,89
low-end,6
floured,1
statutory,208
letter,2015
intersperse,8
emaciated,4
spot-on,7
grotty,3
mass-production,1
cosh,12
holiness,1
spray,58
backbencher,307
unsung,14
hovel,3
worthless,59
hardwork,30
quarter-final,35
anti-regime,3
bamboo,6
bap,1
entitled,2
car-boot,1
schmaltzy,1
cosmologist,1
college,495
ladle,10
grammatical,2
paddock,6
snapshot,95
thought-provoking,9
syriza,86
kong-based,2
downgrade,1284
poise,213
stirrup,1
social-care,7
coefficient,8
tinderbox,3
precipitate,60
orb,4
soy,3
valley,86
house-buying,1
antioxidant,4
60-year-old,17
butterfly,19
trash,106
oldie,3
vexatious,2
sleep,498
rattan,1
therapeutics,2
ovation,47
romp,28
sensationalist,3
calming,30
underpants,9
cac,152
holocaust,16
anti-growth,6
waddle,3
counterblast,2
t-shirt,123
haemorrhaging,6
outré,1
musicality,4
near-halving,2
alleyway,12
dozy,4
lawlessness,17
on-balance,1
catastrophic,288
decency,71
all-embracing,5
favela,12
pty,1
emphysema,5
venomous,14
dinghy,8
crystalise,4
risk-taker,3
firepower,145
freus,1
underemployment,27
empty,557
cricketer,12
german-centric,1
